,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
184,Pasighat,100,IN,1563660986,96,28.06,95.33,71.62,1.86
185,Myitkyina,100,MM,1563660987,96,25.38,97.4,71.62,2.21
186,Talnakh,0,RU,1563660988,58,69.49,88.39,57.2,8.95
187,El Burrion,40,MX,1563660990,44,25.54,-108.41,97.0,16.11
188,Saldanha,0,PT,1563660991,47,41.42,-6.55,72.88,7.74
189,Calatayud,68,ES,1563660724,53,41.35,-1.64,82.4,15.64
190,Kokstad,12,ZA,1563660993,92,-30.55,29.42,26.08,4.16
191,Luderitz,0,NA,1563660994,72,-26.65,15.16,57.22,11.92
192,Avarua,7,CK,1563660995,60,-21.21,-159.78,73.4,6.93
193,Puerto Ayora,20,EC,1563660996,54,-0.74,-90.35,82.4,18.34
194,Black River,20,JM,1563660998,59,18.03,-77.85,89.6,18.34
195,Letlhakane,0,BW,1563660999,19,-21.42,25.59,54.52,7.74
196,Aguas Formosas,10,BR,1563661000,91,-17.08,-40.94,62.26,5.12
197,Sao Joaquim,0,BR,1563661001,99,-28.29,-49.93,61.0,3.0
198,Tooele,1,US,1563661002,27,40.53,-112.3,93.99,10.29
199,Arrifes,20,PT,1563661004,94,37.77,-25.7,71.6,4.7
200,Maumere,52,ID,1563661005,67,-8.63,122.22,71.08,2.75
201,Kodiak,40,US,1563661006,21,39.95,-94.76,98.01,9.17
202,San Quintin,100,PH,1563661007,89,17.54,120.52,75.58,3.33
203,Batagay-Alyta,93,RU,1563661008,46,67.8,130.41,53.62,5.08
204,Ixtapa,90,MX,1563661009,62,20.71,-105.21,88.0,9.17
205,Seymchan,90,RU,1563661011,70,62.93,152.39,45.88,6.13
206,Tromso,0,NO,1563661012,76,69.65,18.96,60.01,6.93
207,Husavik,31,CA,1563661013,61,50.56,-96.99,72.0,5.99
208,Te Anau,100,NZ,1563660858,94,-45.41,167.72,44.26,5.03
209,Port Hardy,40,CA,1563661015,87,50.7,-127.42,57.2,5.82
210,Batagay,100,RU,1563661016,49,67.65,134.64,53.26,5.93
211,Sai Buri,100,TH,1563661018,96,6.7,101.62,73.24,1.41
212,Plouzane,0,FR,1563661019,87,48.38,-4.62,62.01,2.24
213,Vanimo,19,PG,1563661020,80,-2.67,141.3,80.98,6.22
214,Ngunguru,36,NZ,1563661021,96,-35.62,174.5,51.01,3.0
215,El Progreso,87,GT,1563661022,76,14.36,-89.85,72.34,6.42
216,Okhotsk,0,RU,1563661023,55,59.36,143.24,56.68,20.51
217,Ilulissat,75,GL,1563660743,81,69.22,-51.1,50.0,4.7
218,Ullapool,4,GB,1563661026,82,57.9,-5.16,57.0,4.0
219,Vallenar,63,CL,1563661027,49,-28.58,-70.76,62.26,7.52
220,Fare,9,PF,1563661028,77,-16.7,-151.02,76.12,16.02
221,Shostka,16,UA,1563661029,84,51.86,33.47,61.36,3.02
222,Mount Gambier,40,AU,1563661030,87,-37.83,140.78,48.2,6.93
223,Pindiga,0,NG,1563661032,92,9.98,10.93,72.52,6.13
224,San Policarpo,30,PH,1563661033,87,12.18,125.51,78.28,4.21
225,Locri,5,IT,1563661034,69,38.24,16.26,77.0,3.36
226,Saraland,75,US,1563661035,78,30.82,-88.07,86.0,12.75
227,Huangzhai,88,CN,1563661036,88,23.86,112.01,78.1,0.34
228,Berberati,100,CF,1563661037,94,4.26,15.79,69.1,1.99
229,Rzhaksa,0,RU,1563661039,88,52.14,42.03,59.38,7.52
230,Mehamn,0,NO,1563661040,77,71.03,27.85,53.44,2.71
231,Arman,95,RU,1563661041,85,59.7,150.17,49.3,5.79
232,Ishigaki,75,JP,1563661042,94,24.34,124.16,82.4,11.41
233,Guerrero Negro,50,MX,1563661043,87,27.97,-114.04,65.32,17.56
234,Avera,20,US,1563661045,41,33.19,-82.53,93.2,3.36
235,Flinders,0,AU,1563661046,65,-34.58,150.85,59.0,4.7
236,Hyeres,28,FR,1563661047,88,43.12,6.14,78.01,3.36
237,Christchurch,97,NZ,1563660787,100,-43.53,172.64,53.01,19.46
238,Northam,75,AU,1563661049,93,-31.65,116.67,57.2,14.99
239,Los Llanos de Aridane,90,ES,1563661050,83,28.66,-17.92,73.4,13.87
240,Vila Velha,75,BR,1563661051,74,-3.71,-38.6,86.0,12.75
241,Quatre Cocos,20,MU,1563661053,88,-20.21,57.76,70.0,5.82
242,Pangody,33,RU,1563661054,86,65.85,74.49,67.12,7.63
243,Zanjan,0,IR,1563661055,55,36.67,48.48,63.88,3.44
244,Tuktoyaktuk,75,CA,1563661056,72,69.44,-133.03,62.6,10.29
245,Namibe,96,AO,1563661057,87,-15.19,12.15,69.46,5.06
246,Menongue,0,AO,1563661058,29,-14.66,17.68,52.18,3.47
247,Labuhan,0,ID,1563661060,95,-2.54,115.51,70.36,1.77
248,Duluth,1,US,1563661061,31,46.77,-92.13,80.01,10.29
249,Dingle,36,PH,1563661062,89,11.0,122.67,74.5,2.1
250,Codrington,90,AU,1563661063,93,-28.95,153.24,55.99,6.93
251,Tiksi,5,RU,1563661064,75,71.64,128.87,44.26,10.18
252,Lima,90,PE,1563661065,77,-12.06,-77.04,64.4,6.93
253,Moba,0,CD,1563661067,65,-7.04,29.77,60.46,3.33
254,devin,0,IT,1563661068,78,45.71,7.68,78.01,4.7
255,Oktyabrskoye,40,RU,1563661069,100,56.73,85.44,55.99,6.71
256,Zaqatala,40,AZ,1563661070,57,41.63,46.65,78.8,6.93
257,Pangnirtung,79,CA,1563661071,59,66.15,-65.72,57.04,6.58
258,Diffa,0,NE,1563660788,35,13.32,12.61,91.24,10.31
259,Balingasay,100,PH,1563661074,77,16.36,119.86,84.4,11.25
260,Jorochito,75,BO,1563661075,54,-18.06,-63.43,84.2,19.46
261,Lazaro Cardenas,40,MX,1563661076,19,28.39,-105.62,95.0,13.87
262,Anchorage,90,US,1563660887,68,61.22,-149.89,69.01,8.05
263,Saint-Augustin,90,CA,1563661078,79,45.63,-73.98,89.01,5.82
264,Ambilobe,99,MG,1563661079,75,-13.19,49.05,74.68,2.21
265,Ostrovnoy,0,RU,1563661080,85,68.05,39.51,40.12,0.63
266,Dukat,0,AL,1563661082,62,40.25,19.57,73.99,1.01
267,Tawau,75,MY,1563661083,94,4.26,117.89,75.2,2.24
268,Bathsheba,40,BB,1563660962,70,13.22,-59.52,84.2,17.22
269,Cockburn Town,40,TC,1563661074,66,21.46,-71.14,87.8,9.17
270,San Cristobal,48,HN,1563661086,44,14.68,-86.92,84.58,13.89
271,Abu Road,8,IN,1563661087,58,24.48,72.78,86.92,0.56
272,Mayumba,30,GA,1563661088,89,-3.44,10.65,71.62,8.16
273,Lamar,1,US,1563661090,22,38.09,-102.62,102.2,17.22
274,Tateyama,75,JP,1563661091,69,36.66,137.31,80.6,3.36
275,Binzhou,20,CN,1563661092,74,37.38,117.96,82.99,0.94
276,Kita,75,JP,1563661093,94,35.76,139.74,80.01,4.7
277,Nsanje,0,MZ,1563661094,33,-16.92,35.26,70.36,3.58
278,Nazarovo,67,RU,1563661096,92,56.01,90.42,43.72,1.52
279,Baiquan,100,CN,1563661097,91,47.61,126.08,71.62,12.68
280,Adra,0,ES,1563660946,78,36.75,-3.02,81.0,4.7
281,Nemuro,100,JP,1563661099,96,43.32,145.57,56.86,8.12
282,San Pedro,100,AR,1563661100,82,-33.68,-59.66,68.0,1.01
283,Kupang,99,ID,1563661101,70,-10.16,123.6,72.52,10.6
284,Wuwei,100,CN,1563661103,32,37.93,102.64,73.06,7.94
285,Umbuzeiro,90,BR,1563661104,94,-7.7,-35.67,69.8,4.7
286,Qaqortoq,40,GL,1563661105,58,60.72,-46.03,59.0,14.99
287,Japura,100,ID,1563661089,91,-0.42,102.29,72.52,1.3
288,Adrar,72,DZ,1563661107,12,27.87,-0.29,104.0,20.8
289,Guilin,75,CN,1563661108,88,25.28,110.29,80.6,6.71
290,Hovd,0,NO,1563661109,49,63.83,10.7,69.8,18.34
291,San Andres,100,PH,1563661111,90,13.32,122.68,77.74,2.64
292,Morrope,0,PE,1563661112,29,-6.54,-80.02,66.2,18.34
293,Tual,84,ID,1563661113,82,-5.67,132.75,76.66,20.15
294,Tucuman,0,PE,1563661114,20,-17.17,-70.89,68.38,8.05
295,Tasiilaq,40,GL,1563661115,75,65.61,-37.64,44.6,4.7
296,Sidi Ali,0,DZ,1563661117,89,36.1,0.42,75.94,5.46
297,Vidalia,1,US,1563660908,62,31.57,-91.43,91.4,6.93
298,Imbituba,0,BR,1563661119,68,-28.24,-48.67,68.0,11.41
299,Jand,29,PK,1563661120,41,33.43,72.02,94.66,10.2
300,Abdulino,0,RU,1563661121,92,53.68,53.66,60.1,6.76
301,Presidencia Roque Saenz Pena,0,AR,1563661122,55,-26.79,-60.44,79.54,9.31
302,Hamilton,75,CA,1563661123,59,43.26,-79.87,93.99,9.17
303,Yemtsa,99,RU,1563661125,98,63.06,40.33,49.48,3.69
304,Saint-Joseph,0,FR,1563661126,88,43.56,6.97,77.0,2.24
305,Cherskiy,98,RU,1563661127,62,68.75,161.3,44.98,7.11
306,Oranjemund,0,ZA,1563661128,75,-28.55,16.43,56.5,16.17
307,Iqaluit,90,CA,1563661129,87,63.75,-68.52,42.8,17.22
308,Damietta,0,EG,1563661130,78,31.42,31.81,78.8,12.75
309,Samarai,96,PG,1563661131,90,-10.62,150.67,70.72,2.13
310,Mount Pleasant,40,US,1563661023,49,33.16,-94.97,95.0,10.29
311,Wloclawek,100,PL,1563661134,61,52.65,19.07,66.0,5.37
312,Hami,100,CN,1563661135,39,42.84,93.51,77.38,5.64
313,Half Moon Bay,5,US,1563661000,53,37.46,-122.43,80.01,11.41
314,Port-Gentil,20,GA,1563661137,94,-0.72,8.78,75.2,6.93
315,Khao Wong,100,TH,1563661138,86,16.69,104.09,77.02,6.35
316,Richards Bay,100,ZA,1563661140,71,-28.77,32.06,62.26,40.2
317,Rudnichnyy,31,RU,1563661141,96,59.7,60.29,60.46,2.77
318,Troitsko-Pechorsk,32,RU,1563661142,91,62.71,56.19,55.06,2.37
319,Kalmunai,100,LK,1563661143,63,7.42,81.82,78.82,5.82
320,Parfenyevo,67,RU,1563661144,97,58.48,43.41,53.26,4.34
321,Emerald,0,AU,1563661145,87,-23.53,148.16,54.0,6.4
322,Nishihara,90,JP,1563661147,88,35.74,139.53,80.01,6.71
323,Severo-Kurilsk,33,RU,1563661148,96,50.68,156.12,45.52,12.12
324,Nizhniy Tsasuchey,100,RU,1563661149,89,50.52,115.13,56.5,10.87
325,Borba,97,BR,1563661150,67,-4.39,-59.59,85.48,1.81
326,Buala,100,SB,1563661151,82,-8.15,159.59,80.08,9.26
327,Manggar,15,ID,1563661152,92,-2.88,108.27,75.58,4.32
328,Yilan,92,CN,1563661154,94,43.11,129.52,68.92,5.95
329,Lavrentiya,100,RU,1563661155,94,65.58,-170.99,42.82,4.54
330,Pedro Juan Caballero,0,PY,1563661156,60,-22.55,-55.74,71.6,4.7
331,Kant,0,KG,1563661157,44,42.89,74.85,75.2,8.95
332,Turbat,0,PK,1563661158,74,26.0,63.05,79.9,8.01
333,Terrak,0,NO,1563661159,87,65.09,12.37,59.0,3.36
334,Sandwick,0,GB,1563661160,87,54.57,-2.89,61.0,11.41
335,Fairbanks,90,US,1563661162,52,64.84,-147.72,69.8,12.75
336,Glenluce,51,GB,1563661163,87,54.88,-4.81,59.0,1.79
337,Ballina,100,IE,1563661164,90,54.11,-9.15,60.01,1.99
338,Fremont,1,US,1563661051,50,37.55,-121.99,82.0,13.87
339,Umm Lajj,0,SA,1563661166,72,25.02,37.27,86.56,6.89
340,Chulman,100,RU,1563661167,70,56.84,124.9,49.48,4.14
341,Ponta Delgada,20,PT,1563661169,94,37.73,-25.67,71.6,4.7
342,La Libertad,0,PE,1563661170,14,-16.38,-71.56,68.0,11.41
343,Westport,1,US,1563660903,56,41.14,-73.36,96.01,8.05
344,Rawson,100,AR,1563661172,93,-43.3,-65.11,38.68,8.7
345,Launceston,90,AU,1563661173,76,-41.43,147.14,54.0,13.87
346,Ripiceni,0,MD,1563661174,82,47.95,27.14,64.0,6.93
347,Kavaratti,99,IN,1563661175,80,10.57,72.64,81.34,26.73
348,Petrivka,20,UA,1563661176,77,46.91,30.72,69.8,2.24
349,Sochi,75,RU,1563661167,94,43.6,39.73,73.0,6.71
350,Perth,75,AU,1563661179,87,-31.95,115.86,61.0,6.93
351,Moose Factory,90,CA,1563661180,82,51.26,-80.61,57.2,11.41
352,Chase,1,US,1563661181,31,38.35,-98.35,102.99,16.11
353,Shaunavon,94,CA,1563661182,57,49.65,-108.41,64.96,8.21
354,Leningradskiy,100,RU,1563661183,88,69.38,178.42,36.52,10.13
355,Aberdeen,1,US,1563660988,33,46.98,-123.82,81.0,8.05
356,Srednekolymsk,100,RU,1563661186,52,67.46,153.71,51.64,11.45
357,Cheremukhovo,1,RU,1563661187,97,56.23,46.23,56.14,5.32
358,Rocha,61,UY,1563661046,88,-34.48,-54.34,64.24,10.02
359,Lensk,0,RU,1563661189,64,60.71,114.91,49.12,9.01
360,Celina,40,US,1563660934,55,40.55,-84.57,93.99,14.99
361,General Roca,0,AR,1563661027,43,-39.03,-67.58,55.4,6.93
362,Taoudenni,54,ML,1563661192,9,22.68,-3.98,108.34,14.05
363,Cagsiay,100,PH,1563661193,95,14.22,121.75,74.14,3.4
364,Nizwa,0,OM,1563661195,55,22.93,57.53,79.72,1.48
365,Tazovskiy,91,RU,1563661196,55,67.47,78.7,58.84,10.96
366,Ipixuna,76,BR,1563661197,61,-1.76,-48.8,82.96,3.06
367,Ellenabad,0,IN,1563661198,49,29.45,74.66,92.68,5.66
368,Souris,75,CA,1563661199,69,46.36,-62.25,82.4,3.36
369,Ternate,75,PH,1563661201,88,14.29,120.72,82.4,5.82
370,Dongzhen,100,CN,1563661202,95,43.33,129.73,67.48,5.28
371,Curico,0,CL,1563661203,58,-34.98,-71.23,53.6,3.36
372,Manta,0,RO,1563661204,74,45.1,24.1,63.34,2.82
373,College,90,US,1563661184,52,64.86,-147.8,69.8,12.75
374,Itarema,80,BR,1563661206,78,-2.92,-39.92,76.66,10.02
